rank,alpha,trainable_params,train_time_min,peak_vram_gb,eval_loss,eval_perplexity
base,0,0,0.0,0.0,1.7035661821117563,5.493503334297085
8,16,1843200,4.328488274415334,7.216137728,1.5576941967010498,4.747860980375087
16,32,3686400,4.278718109925588,6.617750016,1.5160834789276123,4.554353000077306
64,128,14745600,4.043298109372457,7.998511616,1.4768110513687134,4.378959115873907
